round,train_rmse,val_rmse,train_mae,val_mae
1,32.70162047867875,,26.311723882039388,
2,30.13540936801264,,24.230905802408856,
3,27.77490529648339,,22.313119832356772,
4,25.59642200133698,,20.550211725870767,
5,23.586249949700992,,18.923510889689126,
6,21.74085529062116,,17.42841847229004,
7,20.03555006498291,,16.050664774576823,
8,18.46225149487691,,14.77964641825358,
9,17.01486262383458,,13.609836283365885,
10,15.683969813677583,,12.533572133382162,
11,14.459382393422926,,11.542883331298828,
12,13.32857373875117,,10.630702212015787,
13,12.286478280856038,,9.790036226908367,
14,11.324818371167662,,9.01573722076416,
15,10.442038544678367,,8.30396903737386,
16,9.624766507206314,,7.645395072937012,
17,8.87696186721151,,7.0428900731404624,
18,8.184783521270253,,6.485965886433919,
19,7.550329638013207,,5.97415364074707,
20,6.962155659741455,,5.500972292582194,
21,6.420748456553394,,5.066341367085775,
22,5.925723134720102,,4.667325543721517,
23,5.4676235934394875,,4.2988394902547205,
24,5.046319943192847,,3.9594558334350585,
25,4.656582529282207,,3.6466387201944985,
26,4.30034777317274,,3.358813140869141,
27,3.9711397180692574,,3.0941625849405923,
28,3.6693129612007716,,2.850528086344401,
29,3.390902107008607,,2.625313901265462,
30,3.1348977187016005,,2.41925059000651,
31,2.9000526410329877,,2.2292876790364584,
32,2.681659083045639,,2.0538483123779296,
33,2.4826824023805596,,1.892582160949707,
34,2.3009635605084293,,1.7443664906819663,
35,2.130538256973881,,1.6074347686767578,
36,1.9718009849447167,,1.4804585088094075,
37,1.8304077695417171,,1.3648290303548176,
38,1.7025180106947746,,1.2588855641682943,
39,1.5825526935244298,,1.1610056762695313,
40,1.4723318788582078,,1.0704707921346028,
41,1.3697441687971574,,0.9871982752482097,
42,1.2764584379252126,,0.910357925415039,
43,1.189419760284866,,0.8399521458943685,
44,1.1094601266720943,,0.7751965459187825,
45,1.0349859883852484,,0.7153361104329428,
46,0.9649314695283124,,0.6599343643188477,
47,0.9018465224139263,,0.6098002344767253,
48,0.8434045171788715,,0.5629452311197917,
49,0.7905938881433616,,0.5201707483927409,
50,0.7416908634339132,,0.48127887725830076,
51,0.698995759034436,,0.4452663091023763,
52,0.6601206114896327,,0.412429448445638,
53,0.6204513390246589,,0.3816207809448242,
54,0.5852887483632845,,0.3534501469930013,
55,0.5514949563864155,,0.3277626266479492,
56,0.5202274196337251,,0.3035973409016927,
57,0.49131836110639104,,0.2818964538574219,
58,0.4649119264937611,,0.2620167668660482,
59,0.4443231581207146,,0.24395613352457682,
60,0.4212449648586694,,0.2270131632486979,
61,0.399491848468963,,0.21173040008544922,
62,0.3803596867562333,,0.19802696736653647,
63,0.3619826110633552,,0.1857377904256185,
64,0.34400782185856416,,0.17449351501464844,
65,0.3279960851169305,,0.16433599599202475,
66,0.3125695920890708,,0.1554856719970703,
67,0.3007378979277349,,0.14772772471110027,
68,0.28793144770116924,,0.14094618988037108,
69,0.2758156794423466,,0.13487130228678385,
70,0.2650657817322018,,0.12901104227701823,
71,0.25402765974461183,,0.12390362294514974,
72,0.24303695878527648,,0.11944493357340495,
73,0.2350594390722251,,0.11519450124104817,
74,0.22609137278953587,,0.11175746154785156,
75,0.2208441613961816,,0.10839380137125651,
76,0.21280487840985776,,0.10525772094726563,
77,0.20546038601167302,,0.10267565409342448,
78,0.20067061383260607,,0.0998664067586263,
79,0.19362632725249404,,0.09774325561523438,
80,0.18741772382905159,,0.09580440521240234,
81,0.18134758799731934,,0.0940182622273763,
82,0.17545474481612466,,0.09223257191975912,
83,0.17034261356238964,,0.09054356638590495,
84,0.16583060851380704,,0.08913739776611328,
85,0.16089109810028215,,0.08795370483398438,
86,0.15654078156297913,,0.08692755381266276,
87,0.15224677952844065,,0.08583995056152344,
88,0.14879135058829585,,0.08500982666015625,
89,0.14480008960150859,,0.08382950083414714,
90,0.14124823147437887,,0.08289783477783202,
91,0.1378379651645668,,0.08192700958251953,
92,0.1362311891382351,,0.08092769877115885,
93,0.133131123756037,,0.0801031977335612,
94,0.13027753853906487,,0.07944627126057943,
95,0.12738796184141907,,0.07877781168619792,
96,0.124775446900707,,0.07814574940999348,
97,0.12255573013724566,,0.07731218973795573,
98,0.12066066819380483,,0.07663738250732421,
99,0.11829433121604332,,0.07607898712158204,
100,0.11639584115629223,,0.07561490631103515,
101,0.1150774270328209,,0.07516505686442057,
102,0.11385071697052619,,0.07435084788004558,
103,0.11243195782434001,,0.07373119608561197,
104,0.11074977757498723,,0.07335832214355469,
105,0.11014554815566743,,0.0729864959716797,
106,0.10838473276582247,,0.07249905649820963,
107,0.1071200103414653,,0.0720120849609375,
108,0.10562609956328703,,0.0713599344889323,
109,0.10395481974129678,,0.07079882303873698,
110,0.10291572797085012,,0.07034446207682292,
111,0.10157679838572987,,0.06988450368245443,
112,0.1000280792009079,,0.06934886932373047,
113,0.09884815728697194,,0.06899810536702473,
114,0.0974810429525782,,0.06853006744384765,
115,0.09685945308702584,,0.06831337229410807,
116,0.09564364454380823,,0.06793163299560546,
117,0.09456699071173742,,0.06755723317464192,
118,0.0932097537709525,,0.06678985087076823,
119,0.09220863279183313,,0.06647984059651693,
120,0.09148715749039048,,0.06608082326253255,
121,0.09070381737739505,,0.06573935953776042,
122,0.08938966574660208,,0.06515088907877604,
123,0.08859534988365715,,0.06493340047200521,
124,0.08789253115927001,,0.06461256917317708,
125,0.0869083881958082,,0.0641479975382487,
126,0.08631286623397881,,0.06392418924967448,
127,0.08565475912934908,,0.06367513529459636,
128,0.08513070080918575,,0.06348330688476563,
129,0.08436087169135162,,0.06295597585042317,
130,0.0835587342213482,,0.06249992116292317,
131,0.08303316252236624,,0.06221564229329427,
132,0.08183545798954141,,0.06148930358886719,
133,0.08095691458047448,,0.06085758972167968,
134,0.0804111780285699,,0.06053078969319661,
135,0.0798512880436589,,0.06027824910481771,
136,0.07938622859108899,,0.05998441823323568,
137,0.07872455871337801,,0.05961055755615234,
138,0.07825514529639598,,0.05925077565511068,
139,0.07751380952859213,,0.05884697087605794,
140,0.07704388574406557,,0.05859661992390951,
141,0.07667064485062579,,0.0584013900756836,
142,0.07620458991557179,,0.05808107121785482,
143,0.07545748706621805,,0.05763889948527019,
144,0.07500610554962317,,0.05738458506266276,
145,0.07452172389866467,,0.05708851114908854,
146,0.07396107984320506,,0.05674647776285807,
147,0.0730554032499021,,0.05615193557739258,
148,0.07280618600468629,,0.05603749720255534,
149,0.0723470003377375,,0.05569643274943034,
150,0.0719480916357585,,0.05542245737711589,
151,0.07128591364730584,,0.05492507934570313,
152,0.07107645077775492,,0.05480090077718099,
153,0.07052211511055535,,0.05443523152669271,
154,0.06989533619039061,,0.05392732238769531,
155,0.06921840284737138,,0.05344412231445313,
156,0.06872535068656337,,0.0530645866394043,
157,0.06803541718065759,,0.0525041732788086,
158,0.06736749715590272,,0.05205233256022136,
159,0.06664489908863504,,0.05150155131022136,
160,0.06602180172289408,,0.05105179850260417,
161,0.06559438325236076,,0.05073910013834636,
162,0.06507194234747544,,0.05034332402547201,
163,0.06452014415769472,,0.04993827056884766,
164,0.06422514420980939,,0.04970798619588216,
165,0.06331396164394913,,0.04906876500447591,
166,0.06260531791961946,,0.04857260386149088,
167,0.06212459617239202,,0.04816112391153971,
168,0.06175551963005845,,0.04787976455688477,
169,0.06129934236953608,,0.04749932607014974,
170,0.06105573706394409,,0.04730150731404623,
171,0.06071267933417206,,0.04706042989095052,
172,0.06008703906708048,,0.04665638224283854,
173,0.05955805396708947,,0.04625905609130859,
174,0.0588622592524761,,0.04566983159383138,
175,0.05860183536637054,,0.04545964177449544,
176,0.05818102131439662,,0.0451718266805013,
177,0.05783218827162424,,0.04492192459106446,
178,0.0574478107898785,,0.04457995223999024,
179,0.05687620064886776,,0.04412954330444336,
180,0.05616556262331433,,0.0436256103515625,
181,0.05582087064628866,,0.04337022908528646,
182,0.05547745429208809,,0.04312046051025391,
183,0.0547723881426232,,0.04258820978800456,
184,0.05414410231114417,,0.04207476552327474,
185,0.05371914505237706,,0.0417176030476888,
186,0.05315083448472052,,0.04126047388712565,
187,0.05264082678675492,,0.04088095219930013,
188,0.05224405997264038,,0.04056113306681315,
189,0.05170989601559672,,0.0401186154683431,
190,0.05099674909520589,,0.039581298828125,
191,0.0504809828037495,,0.03914358774820963,
192,0.05000876241786379,,0.03878042602539063,
193,0.04973897543453721,,0.03857278060913086,
194,0.04931367286615396,,0.03823567581176758,
195,0.04912927235522459,,0.03808435185750326,
196,0.04877342545020463,,0.03782018661499023,
197,0.0484928749569154,,0.03760941569010417,
198,0.04814046068398151,,0.03734169260660807,
199,0.04782653769948108,,0.03709535980224609,
200,0.04765126175172005,,0.03696045303344726,
