feature,importance_gain
RTLP,0.2912900935800098
TWT,0.24385604611801126
UNNAMED_0,0.07111238651389422
LINE,0.05564144156278124
MST,0.05275355982870085
ERM,0.040017712392870095
LOC_MNOW,0.03531766770159809
LATITUDE,0.02585215528921589
PHT,0.018162255456794712
GPC_7,0.01785076303638995
LONGITUDE,0.014981198523735136
GPC_6,0.011660889544689872
GPC_2,0.008452123024034938
GPC_18,0.008447822922341386
STLP,0.008362308813452296
GPC_13,0.008088642677325213
GPC_10,0.007319624771069666
GPC_28,0.006412099901415573
GPC_5,0.006194147402404744
GPC_22,0.004989999196841354
GPC_29,0.004718022418007382
EHT,0.00440304077184974
ENV_ID_MNOW_2001,0.0041687918529903
GPC_25,0.0037748108197272973
GPC_3,0.0036093972315934405
GPC_15,0.003225336426163793
GPC_16,0.003131653284613979
GPC_24,0.0028811785253785994
ENV_ID_IADA_2001,0.0027759365041906034
GPC_27,0.0024945210615592273
LOC_IADA,0.002485555616893207
GPC_20,0.0024825878171179662
GPC_14,0.002452825166483711
GPC_23,0.0021446134077990793
GPC_8,0.0021181411011588235
GPC_26,0.002114923303701183
GPC_1,0.002106127454210468
GPC_17,0.0018117214757045683
GPC_21,0.0017297363078751546
GPC_12,0.001699423370987571
GPC_11,0.0014151575240727784
LOC_IAPR,0.0011837358194747504
GPC_9,0.0010851051660078423
LOC_IAFO,0.0007520134364911507
ENV_ID_IAPR_2001,0.0006811634395280896
ENV_ID_IAFO_2001,0.0006538903757113876
GPC_19,0.0005363507217370919
GPC_4,0.000280580640773926
GPC_30,0.00022383847342655089
ENV_ID_IASP_2001,3.635997529279104e-05
ENV_ID_NEDA_2001,3.2749499624471015e-05
LOC_IASP,2.725379573705999e-05
LOC_NEDA,5.189565396554975e-07
X07_TAVG,0.0
X10_HTDD,0.0
YEAR,0.0
X10_TAVG,0.0
X10_PRCP,0.0
X10_DP10,0.0
GERMPLASM_ID,0.0
DP10_SUM,0.0
DP01_SUM,0.0
CLUSTER,0.0
CLDD_SUM,0.0
CLAY_60_100CM,0.0
CLAY_5_15CM,0.0
CLAY_30_60CM,0.0
CLAY_15_30CM,0.0
CLAY_100_200CM,0.0
CLAY_0_5CM,0.0
CFVO_15_30CM,0.0
GPC_15_X_X05_PRCP,0.0
GPC_15_X_X04_TAVG,0.0
GPC_15_X_X04_PRCP,0.0
GPC_14_X_X10_PRCP,0.0
GPC_14_X_X09_PRCP,0.0
GPC_14_X_X08_PRCP,0.0
GPC_14_X_X07_PRCP,0.0
GPC_14_X_X06_TAVG,0.0
GPC_14_X_X06_PRCP,0.0
GPC_14_X_X05_TAVG,0.0
GPC_14_X_X05_PRCP,0.0
GPC_14_X_X04_TAVG,0.0
CFVO_100_200CM,0.0
YEAR_Y,0.0
GPC_16_X_X09_PRCP,0.0
GPC_16_X_X08_PRCP,0.0
GPC_16_X_X07_PRCP,0.0
GPC_16_X_X06_TAVG,0.0
GPC_16_X_X06_PRCP,0.0
GPC_16_X_X05_TAVG,0.0
GPC_16_X_X05_PRCP,0.0
GPC_16_X_X04_TAVG,0.0
GPC_16_X_X04_PRCP,0.0
GPC_15_X_X10_PRCP,0.0
GPC_15_X_X09_PRCP,0.0
GPC_15_X_X08_PRCP,0.0
GPC_15_X_X07_PRCP,0.0
GPC_15_X_X06_TAVG,0.0
GPC_15_X_X06_PRCP,0.0
GPC_15_X_X05_TAVG,0.0
GPC_17_X_X04_PRCP,0.0
GPC_14_X_X04_PRCP,0.0
GPC_13_X_X10_PRCP,0.0
GPC_13_X_X09_PRCP,0.0
GPC_13_X_X08_PRCP,0.0
GPC_13_X_X07_PRCP,0.0
GPC_13_X_X06_TAVG,0.0
GPC_13_X_X06_PRCP,0.0
GPC_13_X_X05_TAVG,0.0
GPC_13_X_X05_PRCP,0.0
GPC_13_X_X04_TAVG,0.0
GPC_13_X_X04_PRCP,0.0
GPC_12_X_X10_PRCP,0.0
GPC_12_X_X09_PRCP,0.0
GPC_12_X_X08_PRCP,0.0
GPC_16_X_X10_PRCP,0.0
GPC_18_X_X07_PRCP,0.0
GPC_18_X_X06_TAVG,0.0
GPC_18_X_X06_PRCP,0.0
GPC_18_X_X05_TAVG,0.0
GPC_18_X_X05_PRCP,0.0
GPC_18_X_X04_TAVG,0.0
GPC_18_X_X04_PRCP,0.0
GPC_17_X_X10_PRCP,0.0
GPC_17_X_X09_PRCP,0.0
GPC_17_X_X08_PRCP,0.0
GPC_17_X_X07_PRCP,0.0
GPC_17_X_X06_TAVG,0.0
GPC_17_X_X06_PRCP,0.0
GPC_17_X_X05_TAVG,0.0
GPC_17_X_X05_PRCP,0.0
GPC_17_X_X04_TAVG,0.0
GPC_1_X_X05_PRCP,0.0
GPC_1_X_X04_TAVG,0.0
GPC_1_X_X04_PRCP,0.0
GPC_19_X_X10_PRCP,0.0
GPC_19_X_X09_PRCP,0.0
GPC_19_X_X08_PRCP,0.0
GPC_19_X_X07_PRCP,0.0
GPC_19_X_X06_TAVG,0.0
GPC_19_X_X06_PRCP,0.0
GPC_19_X_X05_TAVG,0.0
GPC_19_X_X05_PRCP,0.0
GPC_19_X_X04_TAVG,0.0
GPC_19_X_X04_PRCP,0.0
GPC_18_X_X10_PRCP,0.0
GPC_18_X_X09_PRCP,0.0
GPC_18_X_X08_PRCP,0.0
GPC_20_X_X09_PRCP,0.0
GPC_20_X_X08_PRCP,0.0
GPC_20_X_X07_PRCP,0.0
GPC_20_X_X06_TAVG,0.0
GPC_20_X_X06_PRCP,0.0
GPC_20_X_X05_TAVG,0.0
GPC_20_X_X05_PRCP,0.0
GPC_20_X_X04_TAVG,0.0
GPC_20_X_X04_PRCP,0.0
GPC_1_X_X10_PRCP,0.0
GPC_1_X_X09_PRCP,0.0
GPC_1_X_X08_PRCP,0.0
GPC_1_X_X07_PRCP,0.0
GPC_1_X_X06_TAVG,0.0
GPC_1_X_X06_PRCP,0.0
GPC_1_X_X05_TAVG,0.0
GPC_22_X_X06_PRCP,0.0
GPC_22_X_X05_TAVG,0.0
GPC_22_X_X05_PRCP,0.0
GPC_22_X_X04_TAVG,0.0
GPC_22_X_X04_PRCP,0.0
GPC_21_X_X10_PRCP,0.0
GPC_21_X_X09_PRCP,0.0
GPC_21_X_X08_PRCP,0.0
GPC_21_X_X07_PRCP,0.0
GPC_21_X_X06_TAVG,0.0
GPC_21_X_X06_PRCP,0.0
GPC_21_X_X05_TAVG,0.0
GPC_21_X_X05_PRCP,0.0
GPC_21_X_X04_TAVG,0.0
GPC_21_X_X04_PRCP,0.0
GPC_20_X_X10_PRCP,0.0
GPC_24_X_X04_PRCP,0.0
GPC_23_X_X10_PRCP,0.0
GPC_23_X_X09_PRCP,0.0
GPC_23_X_X08_PRCP,0.0
GPC_23_X_X07_PRCP,0.0
GPC_23_X_X06_TAVG,0.0
GPC_23_X_X06_PRCP,0.0
GPC_23_X_X05_TAVG,0.0
GPC_23_X_X05_PRCP,0.0
GPC_23_X_X04_TAVG,0.0
GPC_23_X_X04_PRCP,0.0
GPC_22_X_X10_PRCP,0.0
GPC_22_X_X09_PRCP,0.0
GPC_22_X_X08_PRCP,0.0
GPC_22_X_X07_PRCP,0.0
GPC_22_X_X06_TAVG,0.0
GPC_25_X_X07_PRCP,0.0
GPC_25_X_X06_TAVG,0.0
GPC_25_X_X06_PRCP,0.0
GPC_25_X_X05_TAVG,0.0
GPC_25_X_X05_PRCP,0.0
GPC_25_X_X04_TAVG,0.0
GPC_25_X_X04_PRCP,0.0
GPC_24_X_X10_PRCP,0.0
GPC_24_X_X09_PRCP,0.0
GPC_24_X_X08_PRCP,0.0
GPC_24_X_X07_PRCP,0.0
GPC_24_X_X06_TAVG,0.0
GPC_24_X_X06_PRCP,0.0
GPC_24_X_X05_TAVG,0.0
GPC_24_X_X05_PRCP,0.0
GPC_24_X_X04_TAVG,0.0
GPC_27_X_X05_PRCP,0.0
GPC_27_X_X04_TAVG,0.0
GPC_27_X_X04_PRCP,0.0
GPC_26_X_X10_PRCP,0.0
GPC_26_X_X09_PRCP,0.0
GPC_26_X_X08_PRCP,0.0
GPC_26_X_X07_PRCP,0.0
GPC_26_X_X06_TAVG,0.0
GPC_26_X_X06_PRCP,0.0
GPC_26_X_X05_TAVG,0.0
GPC_26_X_X05_PRCP,0.0
GPC_26_X_X04_TAVG,0.0
GPC_26_X_X04_PRCP,0.0
GPC_25_X_X10_PRCP,0.0
GPC_25_X_X09_PRCP,0.0
GPC_25_X_X08_PRCP,0.0
GPC_28_X_X09_PRCP,0.0
GPC_28_X_X08_PRCP,0.0
GPC_28_X_X07_PRCP,0.0
GPC_28_X_X06_TAVG,0.0
GPC_28_X_X06_PRCP,0.0
GPC_28_X_X05_TAVG,0.0
GPC_28_X_X05_PRCP,0.0
GPC_28_X_X04_TAVG,0.0
GPC_28_X_X04_PRCP,0.0
GPC_27_X_X10_PRCP,0.0
GPC_27_X_X09_PRCP,0.0
GPC_27_X_X08_PRCP,0.0
GPC_27_X_X07_PRCP,0.0
GPC_27_X_X06_TAVG,0.0
GPC_27_X_X06_PRCP,0.0
GPC_27_X_X05_TAVG,0.0
GPC_2_X_X06_PRCP,0.0
GPC_2_X_X05_TAVG,0.0
GPC_2_X_X05_PRCP,0.0
GPC_2_X_X04_TAVG,0.0
GPC_2_X_X04_PRCP,0.0
GPC_29_X_X10_PRCP,0.0
GPC_29_X_X09_PRCP,0.0
GPC_29_X_X08_PRCP,0.0
GPC_29_X_X07_PRCP,0.0
GPC_29_X_X06_TAVG,0.0
GPC_29_X_X06_PRCP,0.0
GPC_29_X_X05_TAVG,0.0
GPC_29_X_X05_PRCP,0.0
GPC_29_X_X04_TAVG,0.0
GPC_29_X_X04_PRCP,0.0
GPC_28_X_X10_PRCP,0.0
GPC_3_X_X04_PRCP,0.0
GPC_30_X_X10_PRCP,0.0
GPC_30_X_X09_PRCP,0.0
GPC_30_X_X08_PRCP,0.0
GPC_30_X_X07_PRCP,0.0
GPC_30_X_X06_TAVG,0.0
GPC_30_X_X06_PRCP,0.0
GPC_30_X_X05_TAVG,0.0
GPC_30_X_X05_PRCP,0.0
GPC_30_X_X04_TAVG,0.0
GPC_30_X_X04_PRCP,0.0
GPC_2_X_X10_PRCP,0.0
GPC_2_X_X09_PRCP,0.0
GPC_2_X_X08_PRCP,0.0
GPC_2_X_X07_PRCP,0.0
GPC_2_X_X06_TAVG,0.0
GPC_3_X_X04_TAVG,0.0
GPC_12_X_X07_PRCP,0.0
GPC_12_X_X06_TAVG,0.0
GPC_12_X_X06_PRCP,0.0
GPC_12_X_X05_TAVG,0.0
GPC_12_X_X05_PRCP,0.0
GPC_12_X_X04_TAVG,0.0
GPC_12_X_X04_PRCP,0.0
GPC_11_X_X10_PRCP,0.0
GPC_11_X_X09_PRCP,0.0
GPC_11_X_X08_PRCP,0.0
GPC_11_X_X07_PRCP,0.0
GPC_11_X_X06_TAVG,0.0
GPC_11_X_X06_PRCP,0.0
GPC_11_X_X05_TAVG,0.0
GPC_11_X_X05_PRCP,0.0
GPC_4_X_X08_PRCP,0.0
GPC_4_X_X07_PRCP,0.0
GPC_4_X_X06_TAVG,0.0
GPC_4_X_X06_PRCP,0.0
GPC_4_X_X05_TAVG,0.0
GPC_4_X_X05_PRCP,0.0
GPC_4_X_X04_TAVG,0.0
GPC_4_X_X04_PRCP,0.0
GPC_3_X_X10_PRCP,0.0
GPC_3_X_X09_PRCP,0.0
GPC_3_X_X08_PRCP,0.0
GPC_3_X_X07_PRCP,0.0
GPC_3_X_X06_TAVG,0.0
GPC_3_X_X06_PRCP,0.0
GPC_3_X_X05_TAVG,0.0
GPC_3_X_X05_PRCP,0.0
GPC_6_X_X05_TAVG,0.0
GPC_6_X_X05_PRCP,0.0
GPC_6_X_X04_TAVG,0.0
GPC_6_X_X04_PRCP,0.0
GPC_5_X_X10_PRCP,0.0
GPC_5_X_X09_PRCP,0.0
GPC_5_X_X08_PRCP,0.0
GPC_5_X_X07_PRCP,0.0
GPC_5_X_X06_TAVG,0.0
GPC_5_X_X06_PRCP,0.0
GPC_5_X_X05_TAVG,0.0
GPC_5_X_X05_PRCP,0.0
GPC_5_X_X04_TAVG,0.0
GPC_5_X_X04_PRCP,0.0
GPC_4_X_X10_PRCP,0.0
GPC_4_X_X09_PRCP,0.0
GPC_7_X_X10_PRCP,0.0
GPC_7_X_X09_PRCP,0.0
GPC_7_X_X08_PRCP,0.0
GPC_7_X_X07_PRCP,0.0
GPC_7_X_X06_TAVG,0.0
GPC_7_X_X06_PRCP,0.0
GPC_7_X_X05_TAVG,0.0
GPC_7_X_X05_PRCP,0.0
GPC_7_X_X04_TAVG,0.0
GPC_7_X_X04_PRCP,0.0
GPC_6_X_X10_PRCP,0.0
GPC_6_X_X09_PRCP,0.0
GPC_6_X_X08_PRCP,0.0
GPC_6_X_X07_PRCP,0.0
GPC_6_X_X06_TAVG,0.0
GPC_6_X_X06_PRCP,0.0
GPC_9_X_X06_TAVG,0.0
GPC_9_X_X06_PRCP,0.0
GPC_9_X_X05_TAVG,0.0
GPC_9_X_X05_PRCP,0.0
GPC_9_X_X04_TAVG,0.0
GPC_9_X_X04_PRCP,0.0
GPC_8_X_X10_PRCP,0.0
GPC_8_X_X09_PRCP,0.0
GPC_8_X_X08_PRCP,0.0
GPC_8_X_X07_PRCP,0.0
GPC_8_X_X06_TAVG,0.0
GPC_8_X_X06_PRCP,0.0
GPC_8_X_X05_TAVG,0.0
GPC_8_X_X05_PRCP,0.0
GPC_8_X_X04_TAVG,0.0
GPC_8_X_X04_PRCP,0.0
PHH2O_30_60CM,0.0
PHH2O_15_30CM,0.0
PHH2O_100_200CM,0.0
PHH2O_0_5CM,0.0
NITROGEN_60_100CM,0.0
NITROGEN_5_15CM,0.0
NITROGEN_30_60CM,0.0
NITROGEN_15_30CM,0.0
NITROGEN_100_200CM,0.0
NITROGEN_0_5CM,0.0
MAB_PROJECT_ID,0.0
HTDD_SUM,0.0
GPC_9_X_X10_PRCP,0.0
GPC_9_X_X09_PRCP,0.0
GPC_9_X_X08_PRCP,0.0
GPC_9_X_X07_PRCP,0.0
SILT_5_15CM,0.0
SILT_30_60CM,0.0
SILT_15_30CM,0.0
SILT_100_200CM,0.0
SILT_0_5CM,0.0
SAND_60_100CM,0.0
SAND_5_15CM,0.0
SAND_30_60CM,0.0
SAND_15_30CM,0.0
SAND_100_200CM,0.0
SAND_0_5CM,0.0
PROJECTID_1,0.0
PROJECTID,0.0
PRCP_MEAN,0.0
PHH2O_60_100CM,0.0
PHH2O_5_15CM,0.0
GPC_11_X_X04_PRCP,0.0
GPC_10_X_X10_PRCP,0.0
GPC_10_X_X09_PRCP,0.0
GPC_10_X_X08_PRCP,0.0
GPC_10_X_X07_PRCP,0.0
GPC_10_X_X06_TAVG,0.0
GPC_10_X_X06_PRCP,0.0
GPC_10_X_X05_TAVG,0.0
GPC_10_X_X05_PRCP,0.0
GPC_10_X_X04_TAVG,0.0
GPC_10_X_X04_PRCP,0.0
X08_CLDD,0.0
GERMPLASM_ID_TESTER,0.0
SOC_100_200CM,0.0
SOC_0_5CM,0.0
SILT_60_100CM,0.0
X05_DP01,0.0
X05_CLDD,0.0
X04_TAVG,0.0
X04_PRCP,0.0
X04_HTDD,0.0
X04_DP10,0.0
X04_DP01,0.0
X04_CLDD,0.0
UNNAMED_0_Y,0.0
UNNAMED_0_X,0.0
TAVG_MEAN,0.0
SOC_60_100CM,0.0
SOC_5_15CM,0.0
SOC_30_60CM,0.0
SOC_15_30CM,0.0
GPC_11_X_X04_TAVG,0.0
CFVO_60_100CM,0.0
X07_PRCP,0.0
X07_HTDD,0.0
X07_DP10,0.0
X07_DP01,0.0
X07_CLDD,0.0
X06_TAVG,0.0
X06_PRCP,0.0
X06_HTDD,0.0
X06_DP10,0.0
X06_DP01,0.0
X06_CLDD,0.0
X05_TAVG,0.0
X05_PRCP,0.0
X05_HTDD,0.0
X05_DP10,0.0
CFVO_30_60CM,0.0
CFVO_0_5CM,0.0
X10_DP01,0.0
X10_CLDD,0.0
X09_TAVG,0.0
X09_PRCP,0.0
X09_HTDD,0.0
X09_DP10,0.0
X09_DP01,0.0
X09_CLDD,0.0
X08_TAVG,0.0
X08_PRCP,0.0
X08_HTDD,0.0
X08_DP10,0.0
X08_DP01,0.0
CFVO_5_15CM,0.0
